DR,A%,DF%,1stIn,1st%,2nd%
0.95,2.5%,3.8%,54.4%,67.4%,58.3%
1.13,3.5%,3.5%,56.6%,78.1%,46.9%
1.58,2.6%,2.6%,53.8%,66.7%,61.1%
1.04,1.0%,5.9%,61.4%,61.3%,59.0%
0.91,3.8%,1.3%,64.1%,78.0%,57.1%
1.07,3.6%,3.6%,64.5%,66.2%,46.2%
0.73,0.0%,2.3%,62.8%,59.3%,43.8%
1.15,1.2%,2.4%,67.1%,61.4%,78.6%
0.78,2.4%,2.4%,58.3%,63.3%,51.4%
0.96,0.8%,3.0%,62.1%,61.0%,48.0%
1.12,2.0%,2.0%,59.6%,62.7%,65.0%
0.93,8.4%,0.9%,72.0%,54.5%,60.0%
1.05,0.0%,1.1%,59.8%,71.2%,57.1%
0.94,2.7%,3.6%,64.3%,63.9%,50.0%
1.26,5.2%,3.4%,55.2%,65.6%,53.8%
1.50,0.0%,2.1%,59.6%,78.6%,42.1%
0.67,3.2%,3.2%,68.3%,48.8%,50.0%
1.13,4.6%,2.3%,59.8%,69.2%,54.3%
0.93,2.6%,3.9%,67.1%,56.9%,64.0%
0.73,6.0%,1.5%,62.7%,64.3%,52.0%
