DR,A%,DF%,1stIn,1st%,2nd%
3.39,5.4%,8.1%,56.8%,100.0%,68.8%
1.04,2.9%,5.8%,61.2%,68.3%,52.5%
1.10,0.0%,2.1%,67.0%,53.8%,65.6%
1.27,7.1%,7.1%,61.6%,73.8%,50.0%
1.05,4.7%,5.9%,64.7%,65.5%,46.7%
2.25,2.6%,5.3%,50.0%,73.7%,68.4%
0.67,2.7%,2.7%,53.3%,52.5%,51.4%
0.95,5.4%,2.7%,55.9%,74.2%,38.8%
0.98,1.8%,2.7%,65.5%,67.6%,41.0%
1.85,9.8%,2.0%,58.8%,86.7%,66.7%
0.84,6.1%,3.0%,62.6%,64.5%,45.9%
1.59,12.7%,0.0%,54.5%,70.0%,68.0%
1.13,2.9%,1.5%,61.8%,64.3%,53.8%
2.62,2.8%,5.6%,50.0%,77.8%,77.8%
0.74,5.2%,0.0%,74.1%,72.1%,40.0%
0.53,7.9%,6.6%,52.6%,57.5%,41.7%
1.17,1.4%,2.7%,57.5%,64.3%,58.1%
0.77,2.0%,2.0%,52.9%,55.6%,58.3%
1.10,10.3%,2.3%,66.7%,67.2%,58.6%
