DR,A%,DF%,1stIn,1st%,2nd%
1.20,1.5%,1.5%,71.2%,72.3%,57.9%
1.00,0.0%,1.2%,63.5%,66.7%,38.7%
0.80,0.0%,7.8%,59.4%,60.5%,57.7%
1.17,1.4%,6.9%,62.5%,66.7%,48.1%
1.17,0.0%,2.2%,72.8%,62.7%,64.0%
0.79,0.0%,1.4%,66.7%,41.3%,60.9%
0.85,2.0%,0.0%,71.4%,62.9%,57.1%
1.64,2.0%,3.9%,66.7%,70.6%,58.8%
0.51,2.0%,2.0%,66.0%,48.5%,41.2%
1.67,0.0%,2.5%,65.0%,65.4%,57.1%
1.19,0.0%,2.3%,62.1%,63.0%,60.6%
1.43,1.9%,1.9%,64.8%,68.6%,52.6%
0.57,0.0%,2.6%,60.5%,65.2%,53.3%
1.62,0.0%,0.0%,63.3%,61.3%,66.7%
1.27,0.0%,1.7%,62.7%,64.9%,63.6%
1.17,0.0%,1.1%,62.5%,61.8%,60.6%
0.82,2.2%,6.5%,71.7%,60.6%,46.2%
1.20,0.0%,0.0%,72.9%,64.3%,69.2%
1.10,3.3%,2.2%,67.0%,70.5%,50.0%
2.09,2.2%,4.4%,66.7%,73.3%,66.7%
1.32,0.0%,1.4%,65.7%,63.0%,62.5%
