DR,A%,DF%,1stIn,1st%,2nd%
2.34,15.6%,0.0%,64.4%,82.8%,81.3%
0.57,8.6%,3.4%,53.4%,58.1%,29.6%
0.53,9.6%,0.0%,71.2%,62.2%,40.0%
1.17,5.2%,2.1%,58.3%,76.8%,47.5%
1.19,7.6%,2.5%,53.2%,73.8%,54.1%
0.69,3.9%,0.0%,60.8%,61.3%,35.0%
1.04,9.0%,0.0%,56.2%,84.0%,35.9%
0.75,0.0%,3.8%,46.2%,50.0%,46.4%
1.09,5.8%,3.8%,52.9%,78.2%,36.7%
1.09,7.6%,0.0%,63.3%,74.0%,37.9%
1.44,4.2%,2.8%,53.5%,76.3%,69.7%
0.97,7.1%,6.1%,53.1%,71.2%,41.3%
0.82,3.6%,4.5%,59.8%,67.2%,48.9%
0.58,12.5%,0.0%,75.0%,75.0%,41.7%
0.99,10.0%,2.2%,57.8%,71.2%,44.7%
1.14,9.3%,1.9%,63.0%,73.5%,52.5%
1.59,17.9%,0.0%,56.4%,90.9%,55.9%
0.85,1.4%,4.3%,56.5%,64.1%,43.3%
0.71,4.9%,0.0%,67.2%,56.1%,60.0%
1.04,16.7%,1.1%,66.7%,66.7%,46.7%
