DR,A%,DF%,1stIn,1st%,2nd%
0.98,3.3%,3.3%,67.8%,62.3%,41.4%
1.11,9.0%,4.5%,57.3%,82.4%,60.5%
2.45,10.0%,0.0%,82.5%,81.8%,71.4%
0.85,5.6%,1.1%,76.4%,63.2%,42.9%
1.22,8.0%,2.0%,75.0%,72.0%,48.0%
0.60,3.2%,4.8%,64.5%,70.0%,45.5%
1.62,3.5%,5.3%,64.9%,86.5%,50.0%
1.27,4.7%,4.7%,75.0%,64.6%,37.5%
0.73,7.8%,0.0%,66.7%,76.7%,43.3%
0.86,1.3%,1.3%,62.5%,58.0%,50.0%
1.26,4.1%,4.1%,63.0%,71.7%,48.1%
2.73,5.0%,5.0%,67.5%,88.9%,69.2%
0.44,3.4%,0.0%,67.8%,50.0%,42.1%
1.82,0.0%,6.3%,58.7%,73.0%,53.8%
1.67,8.5%,4.3%,66.0%,67.7%,68.8%
1.19,20.0%,4.3%,74.3%,75.0%,44.4%
1.19,1.4%,1.4%,66.2%,72.3%,58.3%
1.10,3.1%,6.3%,66.7%,65.6%,46.9%
1.48,4.1%,4.1%,65.3%,71.9%,52.9%
1.26,3.4%,5.2%,65.5%,71.1%,40.0%
