DR,A%,DF%,1stIn,1st%,2nd%
0.51,2.6%,2.6%,50.0%,52.6%,21.1%
1.73,0.0%,3.5%,49.1%,67.9%,55.2%
0.78,0.0%,13.1%,47.5%,48.3%,37.5%
1.35,0.0%,5.8%,66.7%,67.4%,47.8%
0.58,9.3%,9.3%,51.9%,67.9%,61.5%
2.32,0.0%,2.5%,52.5%,85.7%,63.2%
0.83,0.0%,4.5%,52.3%,54.3%,42.9%
0.76,2.1%,4.1%,59.8%,65.5%,43.6%
1.62,6.4%,0.0%,53.2%,72.0%,68.2%
1.15,2.4%,3.6%,65.1%,66.7%,62.1%
0.93,3.0%,6.1%,60.6%,60.0%,41.0%
0.53,0.0%,8.0%,56.0%,67.9%,18.2%
1.18,6.4%,1.3%,56.4%,72.7%,55.9%
1.23,6.9%,1.4%,61.1%,70.5%,67.9%
0.95,5.7%,1.9%,60.0%,65.1%,47.6%
1.18,5.8%,4.8%,64.4%,73.1%,54.1%
0.66,2.2%,6.5%,63.0%,69.0%,70.6%
