DR,A%,DF%,1stIn,1st%,2nd%
0.95,3.6%,1.2%,60.7%,58.8%,39.4%
1.53,3.8%,1.9%,59.6%,80.6%,57.1%
1.03,2.7%,2.7%,61.3%,67.4%,48.3%
0.64,3.7%,3.7%,64.6%,60.4%,48.3%
0.95,3.0%,5.0%,53.0%,66.0%,48.9%
1.18,1.4%,4.1%,58.1%,69.8%,51.6%
0.80,4.5%,1.5%,47.8%,71.9%,42.9%
1.38,8.9%,3.6%,50.0%,82.1%,46.4%
0.86,8.7%,3.8%,57.7%,68.3%,52.3%
0.61,2.6%,5.3%,34.2%,53.8%,32.0%
1.08,5.0%,2.5%,55.8%,71.6%,52.8%
0.97,4.2%,3.1%,63.5%,62.3%,54.3%
0.69,9.6%,0.0%,61.5%,53.1%,30.0%
1.67,3.6%,0.0%,57.1%,75.0%,58.3%
0.70,7.0%,1.7%,56.5%,64.6%,34.0%
1.25,17.5%,3.5%,59.6%,82.4%,47.8%
0.85,7.1%,4.1%,61.2%,73.3%,36.8%
1.18,6.0%,3.0%,60.0%,73.3%,67.5%
0.65,0.0%,5.7%,64.2%,61.8%,36.8%
1.21,9.0%,0.0%,62.9%,71.4%,60.6%
1.58,5.2%,0.0%,72.4%,71.4%,68.8%
1.15,8.4%,3.6%,59.0%,63.3%,52.9%
