DR,A%,DF%,1stIn,1st%,2nd%
0.71,3.4%,0.0%,60.3%,71.4%,52.2%
1.23,6.5%,4.8%,62.9%,74.4%,43.5%
1.56,8.0%,8.0%,68.0%,73.5%,62.5%
0.69,1.3%,5.1%,59.0%,67.4%,50.0%
1.12,8.6%,8.6%,60.5%,77.6%,43.8%
1.96,4.4%,4.4%,64.4%,75.9%,68.8%
0.69,5.8%,5.8%,55.8%,44.8%,26.1%
1.09,6.8%,7.8%,56.3%,72.4%,42.2%
1.11,4.2%,5.2%,50.0%,72.9%,33.3%
0.58,1.9%,7.5%,58.5%,61.3%,45.5%
0.79,3.3%,0.0%,50.0%,66.7%,53.3%
1.15,5.7%,3.4%,61.4%,63.0%,73.5%
1.44,15.7%,7.8%,60.8%,71.0%,45.0%
3.57,20.0%,0.0%,80.0%,75.0%,100.0%
1.41,5.8%,1.9%,40.4%,90.5%,45.2%
1.14,13.8%,3.7%,71.6%,70.5%,61.3%
2.35,12.5%,2.1%,50.0%,95.8%,70.8%
1.36,9.9%,4.2%,54.9%,79.5%,62.5%
0.25,7.4%,3.7%,74.1%,60.0%,42.9%
2.45,11.1%,5.6%,75.0%,85.2%,55.6%
1.12,9.7%,0.0%,69.9%,77.8%,48.4%
