DR,A%,DF%,1stIn,1st%,2nd%
0.97,2.0%,6.0%,52.0%,65.4%,37.5%
0.65,1.8%,3.6%,70.9%,48.7%,37.5%
1.05,2.4%,4.7%,52.9%,64.4%,52.5%
1.23,6.1%,3.0%,49.5%,79.6%,52.0%
1.04,1.7%,6.8%,59.3%,71.4%,37.5%
1.11,6.4%,7.4%,53.2%,66.0%,43.2%
0.71,7.0%,5.0%,56.0%,76.8%,40.9%
1.08,3.4%,2.2%,65.2%,69.0%,54.8%
1.17,15.8%,2.6%,56.6%,79.1%,45.5%
0.87,0.0%,2.1%,54.6%,60.4%,61.4%
0.48,3.6%,3.6%,33.9%,52.6%,51.4%
1.19,3.3%,1.7%,45.0%,59.3%,45.5%
0.87,1.3%,2.6%,53.8%,52.4%,47.2%
1.48,1.6%,1.6%,62.3%,73.7%,73.9%
3.03,8.6%,0.0%,65.7%,82.6%,83.3%
0.70,2.8%,0.0%,51.4%,73.0%,40.0%
1.05,10.7%,1.3%,60.0%,75.6%,53.3%
0.75,9.4%,3.5%,50.6%,62.8%,38.1%
