DR,A%,DF%,1stIn,1st%,2nd%
0.78,6.1%,13.6%,53.0%,62.9%,45.2%
0.67,9.2%,7.7%,63.1%,68.3%,62.5%
1.73,8.0%,2.0%,60.0%,83.3%,65.0%
0.72,12.2%,7.3%,65.9%,81.5%,35.7%
1.11,10.0%,6.7%,51.7%,74.2%,55.2%
0.63,11.5%,11.5%,71.2%,62.2%,53.3%
1.01,5.6%,10.2%,50.9%,74.5%,52.8%
0.79,3.4%,13.6%,52.5%,74.2%,35.7%
1.32,2.9%,4.3%,60.9%,69.0%,40.7%
0.86,2.1%,3.2%,54.3%,62.7%,44.2%
1.20,3.8%,3.8%,68.8%,61.8%,68.0%
1.72,5.7%,5.7%,56.6%,66.7%,73.9%
1.43,10.5%,15.8%,45.6%,76.9%,54.8%
1.18,17.8%,2.7%,68.5%,72.0%,65.2%
1.11,7.7%,5.1%,64.1%,78.0%,46.4%
1.57,11.1%,9.3%,55.6%,73.3%,66.7%
0.91,14.7%,6.9%,58.8%,75.0%,54.8%
1.25,20.4%,4.1%,60.2%,88.1%,48.7%
0.75,4.5%,13.4%,58.0%,70.8%,42.6%
1.06,18.3%,11.5%,48.1%,87.3%,38.2%
