DR,A%,DF%,1stIn,1st%,2nd%
0.58,9.5%,9.5%,64.3%,44.4%,33.3%
0.89,0.9%,3.5%,66.7%,69.7%,60.5%
0.90,0.0%,2.3%,65.9%,51.7%,63.3%
0.69,1.7%,1.7%,63.5%,53.4%,50.0%
1.12,0.0%,8.1%,58.1%,58.3%,46.2%
1.22,2.8%,2.8%,63.4%,77.8%,50.0%
1.32,9.5%,6.8%,58.1%,67.4%,51.6%
0.83,0.0%,0.0%,57.4%,65.7%,34.6%
0.90,1.5%,3.0%,70.7%,61.7%,59.0%
1.65,2.4%,2.4%,69.0%,79.3%,46.2%
0.77,1.9%,0.0%,55.8%,58.6%,39.1%
1.22,3.4%,2.2%,58.4%,71.2%,54.1%
1.16,5.3%,4.3%,67.0%,65.1%,41.9%
0.89,5.1%,5.1%,59.6%,61.0%,50.0%
0.55,4.0%,4.0%,52.0%,65.4%,29.2%
2.28,2.9%,2.9%,60.0%,66.7%,78.6%
1.61,1.8%,0.0%,58.9%,72.7%,56.5%
0.69,0.0%,4.8%,74.2%,63.0%,31.3%
0.75,0.0%,1.6%,74.2%,58.7%,18.8%
1.07,2.9%,0.0%,73.1%,72.4%,53.6%
1.21,2.8%,2.8%,74.6%,73.6%,61.1%
