DR,A%,DF%,1stIn,1st%,2nd%
1.24,7.2%,4.8%,61.4%,64.7%,50.0%
2.63,16.3%,0.0%,58.1%,80.0%,77.8%
0.88,2.8%,5.5%,52.3%,64.9%,46.2%
1.30,6.2%,7.7%,60.0%,71.8%,42.3%
1.06,0.0%,13.0%,63.6%,69.4%,35.7%
0.87,1.4%,6.8%,63.5%,63.8%,40.7%
1.71,7.5%,2.5%,70.0%,71.4%,41.7%
0.83,2.3%,1.2%,58.1%,66.0%,41.7%
0.70,1.8%,10.7%,60.7%,67.6%,40.9%
2.03,6.3%,4.2%,54.2%,80.8%,72.7%
1.39,6.8%,5.1%,57.6%,70.6%,64.0%
2.34,4.4%,6.7%,64.4%,89.7%,62.5%
1.22,1.3%,3.8%,70.5%,70.9%,56.5%
1.63,15.4%,9.6%,55.8%,79.3%,65.2%
0.63,3.6%,1.8%,52.7%,48.3%,42.3%
4.65,22.2%,2.8%,75.0%,96.3%,66.7%
0.84,3.8%,7.7%,55.1%,60.5%,42.9%
0.75,11.1%,5.6%,68.5%,67.6%,41.2%
1.62,2.9%,1.4%,65.2%,80.0%,75.0%
