DR,A%,DF%,1stIn,1st%,2nd%
1.02,5.5%,2.2%,62.6%,66.7%,47.1%
1.30,6.2%,4.6%,58.5%,81.6%,44.4%
1.12,5.0%,3.0%,58.0%,67.2%,57.1%
1.14,7.0%,3.0%,69.0%,78.3%,71.0%
2.32,9.1%,0.0%,63.6%,85.7%,68.8%
0.74,1.9%,3.8%,58.5%,71.0%,36.4%
1.05,7.4%,2.5%,64.2%,80.8%,34.5%
0.95,3.5%,9.6%,47.0%,74.1%,47.5%
0.88,4.3%,5.2%,59.5%,73.9%,51.1%
1.28,12.7%,8.5%,52.1%,78.4%,58.8%
1.14,1.2%,7.0%,54.7%,74.5%,41.0%
1.05,5.3%,9.5%,56.8%,72.2%,53.7%
0.87,7.5%,1.9%,49.1%,73.1%,55.6%
0.63,2.0%,6.0%,60.0%,60.0%,25.0%
0.86,0.8%,6.0%,63.2%,63.1%,40.8%
0.38,11.9%,3.4%,66.1%,69.2%,90.0%
1.46,3.0%,1.5%,64.2%,69.8%,66.7%
1.34,11.2%,5.6%,62.6%,88.1%,60.0%
0.56,4.1%,8.2%,51.0%,56.0%,54.2%
