DR,A%,DF%,1stIn,1st%,2nd%
0.73,0.0%,2.0%,70.6%,44.4%,46.7%
0.63,0.0%,0.0%,64.1%,48.0%,50.0%
0.98,1.1%,3.4%,70.5%,62.9%,42.3%
1.20,0.0%,3.1%,69.2%,55.6%,45.0%
1.35,0.0%,1.5%,52.3%,58.8%,54.8%
1.70,3.7%,1.9%,68.5%,83.8%,64.7%
0.79,4.7%,7.0%,60.5%,57.7%,44.1%
0.88,0.0%,0.0%,62.2%,69.6%,60.7%
1.10,0.0%,4.8%,66.3%,63.6%,32.1%
1.29,1.2%,4.9%,72.0%,61.0%,34.8%
1.36,1.6%,3.2%,69.8%,72.7%,52.6%
0.80,5.3%,0.0%,77.2%,61.4%,38.5%
1.19,3.2%,0.0%,69.1%,76.9%,44.8%
0.99,6.3%,0.0%,77.9%,66.2%,42.9%
1.41,3.2%,0.0%,71.0%,81.8%,44.4%
0.38,0.0%,2.7%,67.6%,48.0%,8.3%
1.17,1.3%,1.3%,76.0%,66.7%,27.8%
0.90,0.0%,0.0%,68.1%,67.7%,51.7%
1.12,2.7%,5.4%,65.8%,65.8%,50.0%
1.41,7.2%,2.4%,65.1%,77.8%,51.7%
1.22,4.5%,1.5%,74.6%,64.0%,64.7%
2.19,7.0%,0.0%,60.5%,88.5%,58.8%
