DR,A%,DF%,1stIn,1st%,2nd%
0.64,0.0%,8.8%,66.7%,55.3%,26.3%
0.71,0.0%,3.2%,65.1%,56.1%,45.5%
1.13,5.1%,3.0%,57.6%,71.9%,66.7%
1.77,6.7%,0.0%,62.2%,64.3%,76.5%
1.41,5.6%,5.6%,55.6%,73.3%,58.3%
1.30,6.6%,6.6%,64.5%,81.6%,29.6%
1.07,1.9%,4.7%,59.8%,64.1%,55.8%
0.90,0.0%,1.6%,61.9%,53.8%,45.8%
1.19,5.6%,5.6%,61.1%,72.7%,46.4%
1.18,3.2%,11.1%,66.7%,64.3%,42.9%
0.86,4.3%,5.7%,72.9%,62.7%,52.6%
1.66,2.0%,8.2%,71.4%,68.6%,42.9%
1.13,5.0%,4.0%,56.0%,67.9%,50.0%
1.69,0.0%,4.3%,67.4%,71.0%,60.0%
1.30,4.7%,4.7%,67.2%,69.8%,47.6%
0.72,7.2%,7.2%,68.1%,53.2%,40.9%
1.09,1.9%,5.7%,67.0%,64.8%,31.4%
0.67,3.2%,12.7%,41.3%,76.9%,43.2%
