DR,A%,DF%,1stIn,1st%,2nd%
0.47,7.1%,11.9%,52.4%,45.5%,40.0%
1.13,6.1%,5.1%,70.7%,65.7%,44.8%
0.70,1.5%,4.5%,62.7%,64.3%,28.0%
0.61,12.3%,4.6%,49.2%,75.0%,39.4%
0.75,3.3%,10.0%,50.0%,86.7%,46.7%
0.76,6.1%,7.6%,62.1%,68.3%,40.0%
1.38,10.7%,5.4%,57.1%,84.4%,41.7%
0.97,7.4%,2.5%,56.8%,67.4%,54.3%
0.63,3.1%,1.6%,71.9%,56.5%,50.0%
1.30,3.3%,3.3%,67.2%,80.5%,30.0%
0.78,8.0%,1.3%,56.0%,73.8%,48.5%
1.40,14.5%,11.8%,67.1%,82.4%,44.0%
1.07,5.5%,5.5%,61.5%,76.8%,40.0%
1.88,8.9%,0.0%,64.4%,72.4%,75.0%
0.96,13.2%,3.8%,67.9%,69.4%,29.4%
0.93,7.1%,4.7%,60.0%,76.5%,61.8%
1.00,9.3%,0.8%,56.8%,76.1%,66.7%
