DR,A%,DF%,1stIn,1st%,2nd%
1.38,10.9%,3.1%,67.2%,69.8%,61.9%
0.77,4.2%,0.0%,64.6%,74.2%,52.9%
0.88,3.1%,5.2%,55.2%,67.9%,53.5%
1.57,8.3%,8.3%,60.4%,79.3%,57.9%
1.34,7.3%,9.1%,58.2%,62.5%,56.5%
1.39,11.9%,3.4%,59.3%,80.0%,54.2%
1.64,21.8%,1.8%,65.5%,80.6%,63.2%
1.43,7.3%,5.5%,54.5%,80.0%,52.0%
1.14,6.3%,3.1%,68.8%,72.7%,65.0%
1.25,7.9%,10.5%,60.5%,76.1%,46.7%
1.53,9.6%,3.8%,73.1%,73.7%,50.0%
1.40,15.8%,7.0%,57.9%,78.8%,58.3%
1.51,9.7%,1.6%,66.1%,80.5%,47.6%
1.67,9.1%,5.5%,61.8%,79.4%,57.1%
1.50,13.5%,1.9%,65.4%,76.5%,50.0%
1.69,9.8%,5.9%,52.9%,81.5%,54.2%
1.72,11.5%,0.0%,75.0%,82.1%,46.2%
1.46,19.0%,5.2%,69.0%,85.0%,50.0%
1.27,5.3%,8.8%,56.1%,84.4%,36.0%
1.00,10.5%,1.1%,65.3%,66.1%,51.5%
1.26,9.8%,1.1%,62.0%,71.9%,51.4%
1.32,8.3%,8.3%,65.0%,84.6%,38.1%
