DR,A%,DF%,1stIn,1st%,2nd%
0.98,8.2%,2.4%,68.2%,67.2%,40.7%
0.67,1.9%,1.9%,61.9%,67.7%,57.5%
0.86,7.0%,5.3%,61.4%,60.0%,50.0%
1.25,3.1%,0.0%,67.2%,69.8%,47.6%
0.93,10.3%,8.6%,49.1%,73.7%,57.6%
1.28,10.8%,6.2%,58.5%,86.8%,48.1%
0.75,2.4%,3.6%,61.4%,52.9%,34.4%
1.01,6.7%,5.6%,56.7%,70.6%,41.0%
0.87,5.0%,1.0%,69.0%,63.8%,58.1%
0.58,4.2%,6.3%,62.5%,76.7%,44.4%
1.18,4.2%,4.2%,56.3%,70.4%,54.8%
0.50,11.9%,4.8%,59.5%,52.0%,29.4%
1.06,13.8%,2.3%,60.9%,75.5%,61.8%
1.01,9.8%,2.9%,64.7%,75.8%,38.9%
0.78,6.8%,1.4%,63.0%,60.9%,55.6%
1.26,9.0%,3.0%,59.7%,75.0%,66.7%
1.29,17.0%,1.1%,66.0%,75.8%,50.0%
0.89,5.7%,3.4%,52.3%,56.5%,54.8%
0.97,3.1%,1.5%,60.0%,64.1%,53.8%
0.98,2.6%,3.5%,48.2%,69.1%,47.5%
1.22,2.3%,6.9%,54.0%,72.3%,50.0%
