DR,A%,DF%,1stIn,1st%,2nd%
0.70,2.8%,6.9%,58.3%,69.0%,46.7%
1.06,7.7%,1.9%,64.4%,71.6%,40.5%
1.48,4.5%,1.5%,59.7%,75.0%,70.4%
0.89,3.2%,6.3%,58.9%,69.6%,35.9%
0.86,1.6%,4.8%,54.8%,67.6%,60.7%
1.19,3.8%,2.5%,70.0%,67.9%,62.5%
1.28,3.4%,1.7%,59.3%,71.4%,66.7%
1.67,9.8%,0.0%,66.7%,85.3%,52.9%
0.65,2.5%,3.7%,65.4%,60.4%,39.3%
2.00,9.1%,0.0%,63.6%,71.4%,81.3%
1.45,1.7%,0.0%,74.6%,75.0%,53.3%
0.81,5.4%,0.0%,76.3%,63.4%,54.5%
0.58,8.6%,8.6%,54.3%,57.9%,56.3%
2.29,21.7%,0.0%,67.4%,80.6%,80.0%
1.08,9.3%,3.1%,50.5%,79.6%,50.0%
0.50,5.2%,3.4%,62.1%,72.2%,31.8%
1.51,11.1%,0.0%,60.3%,76.3%,72.0%
0.87,8.9%,3.8%,68.4%,66.7%,60.0%
0.99,6.9%,1.0%,67.6%,76.8%,57.6%
