DR,A%,DF%,1stIn,1st%,2nd%
0.94,3.9%,1.9%,70.9%,67.1%,53.3%
0.97,8.5%,5.7%,58.5%,75.8%,47.7%
1.47,18.9%,3.8%,69.8%,81.1%,31.3%
1.24,2.9%,2.9%,60.0%,52.4%,57.1%
0.86,5.6%,6.4%,64.0%,61.3%,46.7%
0.83,9.6%,3.8%,52.9%,65.5%,53.1%
1.75,4.1%,8.2%,57.1%,89.3%,61.9%
2.08,3.9%,3.9%,68.6%,80.0%,81.3%
0.43,10.0%,6.7%,63.3%,68.4%,45.5%
0.74,6.3%,0.0%,59.4%,57.9%,38.5%
1.41,1.7%,1.7%,72.4%,71.4%,25.0%
1.50,14.6%,2.1%,72.9%,74.3%,46.2%
0.66,3.8%,5.7%,66.0%,45.7%,50.0%
0.98,8.4%,0.0%,64.2%,70.5%,58.8%
0.08,0.0%,7.7%,69.2%,11.1%,0.0%
1.06,4.9%,3.7%,61.7%,60.0%,48.4%
1.29,1.9%,1.9%,65.0%,77.6%,55.6%
0.95,3.7%,2.8%,54.6%,66.1%,63.3%
1.26,7.4%,4.4%,60.3%,80.5%,48.1%
0.70,6.8%,4.1%,70.3%,51.9%,45.5%
1.38,7.5%,3.0%,58.2%,76.9%,71.4%
1.53,7.3%,1.8%,74.5%,78.0%,71.4%
1.23,5.5%,4.1%,71.2%,65.4%,61.9%
