DR,A%,DF%,1stIn,1st%,2nd%
0.56,5.6%,8.3%,55.6%,62.5%,37.5%
1.07,9.0%,3.4%,65.2%,79.3%,54.8%
0.84,12.5%,6.3%,63.7%,64.7%,51.7%
0.55,0.0%,7.4%,66.7%,38.9%,33.3%
1.07,5.2%,5.8%,60.4%,77.4%,50.8%
0.70,0.0%,1.7%,66.7%,62.5%,35.0%
1.16,5.1%,6.3%,55.7%,72.7%,51.4%
1.39,1.9%,9.3%,74.1%,70.0%,35.7%
0.77,1.9%,1.9%,67.6%,69.0%,55.9%
1.65,4.3%,2.1%,70.2%,78.8%,57.1%
0.83,1.9%,1.9%,54.7%,69.0%,62.5%
0.57,7.1%,0.0%,76.2%,59.4%,60.0%
0.95,7.4%,0.7%,69.6%,69.1%,39.0%
0.75,5.6%,1.4%,66.7%,75.0%,25.0%
0.95,6.7%,4.5%,70.8%,71.4%,61.5%
