DR,A%,DF%,1stIn,1st%,2nd%
1.12,0.0%,12.8%,59.0%,65.2%,37.5%
1.23,0.0%,6.0%,68.0%,61.8%,50.0%
0.76,2.6%,7.9%,68.4%,50.0%,41.7%
0.60,0.0%,7.8%,62.2%,62.5%,29.4%
1.21,1.3%,3.8%,64.1%,68.0%,39.3%
0.82,1.2%,8.3%,67.9%,63.2%,25.9%
1.64,4.0%,2.0%,78.0%,76.9%,63.6%
1.52,5.1%,10.3%,59.0%,65.2%,56.3%
0.77,4.2%,1.4%,50.0%,61.1%,41.7%
0.80,6.8%,4.1%,69.9%,64.7%,40.9%
1.13,8.8%,4.4%,67.6%,65.2%,54.5%
1.41,3.1%,6.3%,68.8%,77.3%,35.0%
0.95,9.7%,0.0%,63.1%,72.3%,52.6%
0.74,3.2%,3.2%,65.1%,51.2%,31.8%
1.10,9.9%,3.0%,63.4%,70.3%,56.8%
2.00,5.6%,8.3%,61.1%,81.8%,50.0%
0.88,3.9%,1.3%,62.3%,68.8%,24.1%
0.97,9.2%,2.3%,62.1%,70.4%,39.4%
1.80,7.1%,0.0%,66.7%,82.1%,42.9%
0.49,1.5%,6.2%,64.6%,64.3%,39.1%
1.04,5.2%,4.2%,64.6%,75.8%,38.2%
