DR,A%,DF%,1stIn,1st%,2nd%
0.49,0.0%,0.0%,71.9%,43.5%,11.1%
2.09,2.1%,0.0%,70.2%,84.8%,64.3%
1.12,5.9%,5.0%,62.4%,76.2%,57.9%
1.81,8.2%,0.0%,49.0%,87.5%,64.0%
1.47,4.5%,3.0%,68.7%,76.1%,52.4%
1.08,7.5%,5.6%,63.6%,70.6%,48.7%
0.69,11.5%,3.8%,62.8%,69.4%,41.4%
1.10,8.5%,4.2%,50.7%,83.3%,54.3%
1.15,6.4%,3.2%,62.8%,79.7%,57.1%
1.33,6.3%,3.1%,73.4%,68.1%,58.8%
1.20,7.5%,2.2%,67.7%,71.4%,50.0%
2.27,8.2%,0.0%,71.4%,74.3%,50.0%
1.51,5.2%,3.4%,65.5%,78.9%,50.0%
1.34,4.7%,0.0%,68.8%,65.9%,65.0%
0.77,4.4%,1.1%,71.4%,72.3%,50.0%
1.66,12.2%,2.0%,67.3%,81.8%,62.5%
1.25,6.1%,6.1%,69.7%,63.0%,60.0%
0.73,5.2%,3.4%,60.3%,54.3%,26.1%
0.97,1.0%,2.0%,68.7%,66.2%,41.9%
1.05,11.1%,1.9%,72.2%,71.8%,50.0%
