DR,A%,DF%,1stIn,1st%,2nd%
0.92,13.8%,7.7%,61.5%,72.5%,40.0%
1.02,11.9%,4.5%,74.6%,74.0%,70.6%
1.09,1.9%,4.8%,66.3%,65.2%,51.4%
0.92,5.7%,4.3%,71.4%,66.0%,35.0%
0.89,12.2%,4.4%,77.8%,65.7%,40.0%
2.19,12.0%,4.0%,74.0%,86.5%,69.2%
0.79,3.8%,5.8%,57.7%,66.7%,54.5%
0.83,7.7%,3.8%,65.4%,70.6%,38.9%
1.01,9.9%,5.0%,65.3%,74.2%,42.9%
1.08,16.5%,2.5%,67.1%,77.4%,50.0%
1.22,9.8%,1.1%,72.8%,77.6%,48.0%
1.24,7.1%,4.4%,71.7%,76.5%,53.1%
0.91,18.8%,1.8%,67.9%,75.0%,61.1%
4.00,22.2%,0.0%,61.1%,90.9%,85.7%
1.38,13.8%,3.2%,66.0%,79.0%,59.4%
1.01,7.8%,4.7%,67.2%,76.7%,57.1%
1.14,18.1%,1.0%,74.3%,78.2%,63.0%
1.24,17.1%,8.6%,60.0%,73.8%,57.1%
1.73,21.6%,0.0%,68.6%,85.7%,68.8%
1.78,20.0%,3.6%,78.2%,83.7%,58.3%
