DR,A%,DF%,1stIn,1st%,2nd%
3.24,2.9%,2.9%,76.5%,84.6%,75.0%
1.79,2.3%,2.3%,65.9%,75.9%,60.0%
1.22,1.5%,6.0%,65.7%,63.6%,56.5%
1.60,0.0%,9.8%,45.1%,73.9%,60.7%
1.69,0.0%,0.0%,52.2%,79.2%,54.5%
1.13,2.6%,3.9%,59.2%,55.6%,45.2%
0.72,2.6%,0.0%,59.2%,60.0%,58.1%
1.20,9.7%,5.3%,49.6%,80.4%,52.6%
0.89,2.8%,1.9%,61.3%,60.0%,36.6%
1.67,3.3%,1.7%,65.0%,69.2%,71.4%
1.74,3.1%,0.0%,62.5%,65.0%,58.3%
0.81,3.4%,3.4%,65.9%,62.1%,43.3%
1.61,5.6%,0.0%,75.9%,65.9%,46.2%
1.33,1.7%,5.0%,71.7%,72.1%,52.9%
4.81,8.1%,2.7%,45.9%,88.2%,90.0%
1.22,4.3%,8.6%,61.4%,76.7%,44.4%
0.58,0.0%,0.0%,70.8%,58.8%,42.9%
1.53,3.6%,0.0%,66.1%,67.6%,68.4%
1.58,0.0%,5.8%,60.9%,81.0%,51.9%
1.86,9.5%,0.0%,73.8%,74.2%,63.6%
