DR,A%,DF%,1stIn,1st%,2nd%
0.72,3.1%,7.8%,48.4%,67.7%,48.5%
0.72,1.4%,5.8%,59.4%,68.3%,42.9%
1.43,0.0%,3.6%,67.9%,68.4%,66.7%
1.13,3.6%,3.6%,56.0%,66.0%,54.1%
1.01,1.9%,3.8%,45.3%,56.3%,53.4%
0.64,0.0%,3.7%,51.9%,53.6%,57.7%
1.35,3.7%,5.6%,51.9%,67.9%,53.8%
1.07,4.3%,4.3%,44.9%,74.2%,47.4%
1.95,6.4%,4.3%,59.6%,78.6%,63.2%
1.23,5.3%,4.0%,49.3%,67.6%,60.5%
1.16,4.7%,7.1%,49.4%,59.5%,58.1%
0.75,6.6%,3.9%,52.6%,70.0%,44.4%
0.87,6.2%,5.2%,51.5%,64.0%,48.9%
1.01,6.3%,2.7%,59.5%,65.2%,55.6%
0.82,5.0%,8.8%,41.3%,66.7%,36.2%
0.89,2.5%,0.0%,51.9%,80.5%,55.3%
