DR,A%,DF%,1stIn,1st%,2nd%
0.95,10.0%,2.5%,57.5%,78.3%,55.9%
1.01,13.7%,0.0%,62.7%,75.0%,47.4%
1.64,5.5%,3.6%,56.4%,87.1%,54.2%
2.60,10.5%,2.6%,73.7%,89.3%,70.0%
0.87,0.0%,2.1%,55.3%,63.5%,40.5%
1.00,7.1%,2.0%,51.5%,62.7%,47.9%
1.04,6.4%,2.8%,56.9%,66.1%,55.3%
0.65,0.0%,3.6%,50.9%,60.7%,33.3%
1.31,6.7%,1.7%,60.0%,69.4%,54.2%
1.53,6.9%,3.4%,56.9%,78.8%,56.0%
1.71,7.5%,3.8%,49.1%,84.6%,63.0%
0.76,7.7%,3.5%,55.6%,65.8%,47.6%
1.35,13.5%,1.4%,58.1%,86.0%,48.4%
0.68,4.6%,2.3%,57.5%,64.0%,45.9%
1.14,5.1%,5.1%,55.6%,69.1%,50.0%
0.81,10.2%,3.1%,60.2%,71.2%,43.6%
1.32,8.8%,5.3%,50.9%,79.3%,42.9%
0.96,14.5%,4.8%,60.2%,76.0%,48.5%
1.18,10.4%,3.9%,55.8%,74.4%,55.9%
0.94,12.7%,6.7%,56.7%,78.8%,43.1%
1.05,8.3%,4.7%,58.0%,78.6%,56.3%
