DR,A%,DF%,1stIn,1st%,2nd%
0.49,2.4%,4.9%,56.1%,43.5%,22.2%
1.51,1.7%,3.4%,70.7%,82.9%,41.2%
1.27,9.5%,2.4%,66.7%,75.0%,39.3%
1.00,2.0%,5.0%,59.4%,61.7%,61.0%
0.91,0.0%,2.1%,72.2%,60.0%,51.9%
1.65,7.4%,1.9%,72.2%,76.9%,60.0%
0.59,0.0%,3.8%,73.1%,42.1%,35.7%
1.80,13.5%,1.9%,76.9%,85.0%,50.0%
1.09,3.6%,2.4%,54.2%,57.8%,63.2%
0.93,8.0%,3.0%,71.0%,70.4%,62.1%
1.44,12.8%,0.0%,56.4%,72.7%,70.6%
0.87,11.1%,4.8%,73.0%,69.6%,29.4%
1.15,7.2%,1.8%,70.3%,70.5%,45.5%
1.52,8.8%,0.0%,67.6%,80.4%,63.6%
0.92,9.1%,3.6%,69.1%,78.9%,47.1%
1.33,5.0%,2.5%,57.5%,71.7%,55.9%
1.18,6.5%,2.2%,60.2%,73.2%,56.8%
0.81,3.2%,0.0%,80.6%,50.0%,58.3%
1.36,1.4%,1.4%,78.6%,67.3%,53.3%
1.42,1.7%,3.4%,61.0%,72.2%,56.5%
1.12,1.4%,2.9%,64.3%,62.2%,60.0%
1.96,2.4%,2.4%,63.4%,69.2%,80.0%
