DR,A%,DF%,1stIn,1st%,2nd%
0.87,2.3%,3.5%,69.8%,60.0%,42.3%
1.56,3.8%,0.0%,66.0%,77.1%,66.7%
1.23,3.9%,2.6%,66.2%,68.6%,69.2%
1.05,3.1%,4.6%,61.5%,67.5%,44.0%
1.09,7.8%,5.6%,63.3%,73.7%,63.6%
0.89,1.4%,2.9%,60.0%,81.0%,57.1%
1.16,5.6%,4.2%,77.5%,69.1%,68.8%
1.43,5.2%,1.7%,60.3%,65.7%,78.3%
1.05,1.1%,4.4%,64.4%,63.8%,65.6%
1.55,3.7%,5.6%,51.9%,78.6%,50.0%
1.57,7.9%,4.8%,50.8%,81.3%,45.2%
2.36,7.9%,10.5%,47.4%,94.4%,60.0%
0.72,3.6%,9.1%,60.0%,51.5%,40.9%
2.78,10.8%,0.0%,73.0%,81.5%,80.0%
0.88,6.1%,0.9%,63.5%,69.9%,54.8%
1.66,11.3%,1.9%,69.8%,75.7%,68.8%
1.38,1.7%,3.4%,74.6%,63.6%,66.7%
2.06,9.5%,2.4%,69.0%,75.9%,69.2%
0.73,1.4%,5.5%,78.1%,66.7%,31.3%
1.27,2.6%,6.4%,57.7%,60.0%,54.5%
1.15,2.8%,2.8%,53.5%,65.8%,60.6%
1.25,5.0%,3.8%,61.3%,63.3%,64.5%
