DR,A%,DF%,1stIn,1st%,2nd%
1.07,4.2%,4.2%,61.5%,67.8%,51.4%
1.74,11.7%,6.7%,63.3%,76.3%,54.5%
0.86,1.6%,0.0%,64.1%,68.3%,56.5%
1.07,13.6%,2.5%,56.8%,69.6%,48.6%
1.35,24.2%,4.5%,71.2%,83.0%,31.6%
0.57,6.7%,5.0%,58.3%,48.6%,40.0%
1.69,1.8%,3.6%,63.6%,71.4%,70.0%
1.09,13.9%,5.1%,65.8%,69.2%,44.4%
1.17,1.4%,4.1%,71.2%,71.2%,47.6%
1.18,1.9%,1.0%,68.6%,58.3%,54.5%
0.83,3.1%,9.2%,53.8%,77.1%,43.3%
0.87,3.0%,4.0%,57.4%,63.8%,46.5%
1.12,6.4%,0.0%,65.4%,68.6%,66.7%
1.31,7.9%,5.6%,67.4%,80.0%,51.7%
0.98,19.0%,2.5%,67.1%,67.9%,61.5%
1.06,2.9%,7.8%,54.9%,67.9%,47.8%
1.26,14.9%,3.0%,71.6%,77.1%,47.4%
0.89,9.1%,2.5%,56.2%,66.2%,50.9%
1.30,9.5%,1.2%,60.7%,76.5%,69.7%
0.87,4.8%,3.8%,60.0%,68.3%,42.9%
1.05,4.3%,1.1%,59.6%,71.4%,55.3%
0.75,9.4%,3.1%,62.5%,76.3%,54.2%
1.44,15.1%,3.8%,62.3%,86.4%,52.5%
