DR,A%,DF%,1stIn,1st%,2nd%
1.00,5.1%,1.3%,69.6%,69.1%,66.7%
0.65,0.0%,1.6%,58.1%,72.2%,23.1%
0.95,8.2%,2.1%,77.3%,77.3%,63.6%
1.04,7.7%,1.0%,72.1%,70.7%,41.4%
1.20,10.6%,5.3%,70.2%,74.2%,60.7%
3.70,10.8%,0.0%,56.8%,85.7%,87.5%
0.98,12.3%,4.6%,69.2%,68.9%,60.0%
1.57,17.6%,2.0%,68.6%,74.3%,75.0%
1.12,13.2%,0.0%,79.2%,73.8%,63.6%
1.51,7.5%,3.8%,66.0%,74.3%,55.6%
0.90,2.1%,2.1%,68.8%,66.7%,43.3%
0.95,4.9%,1.2%,73.2%,56.7%,72.7%
1.30,6.1%,3.7%,57.3%,74.5%,62.9%
0.75,10.4%,4.2%,66.7%,84.4%,31.3%
1.65,12.2%,2.0%,71.4%,77.1%,35.7%
0.99,15.5%,2.1%,76.3%,68.9%,56.5%
1.62,12.0%,3.6%,71.1%,78.0%,70.8%
0.38,5.5%,3.6%,58.2%,46.9%,39.1%
0.92,9.0%,3.0%,69.0%,69.6%,54.8%
0.80,13.7%,4.1%,63.0%,73.9%,48.1%
1.19,11.4%,7.6%,57.0%,80.0%,52.9%
