DR,A%,DF%,1stIn,1st%,2nd%
0.94,7.2%,4.8%,65.1%,64.8%,51.7%
0.77,13.0%,7.8%,53.2%,80.5%,33.3%
1.54,5.6%,4.2%,54.2%,76.9%,60.6%
1.04,9.6%,4.8%,67.5%,76.8%,44.4%
1.03,6.4%,4.5%,66.4%,78.1%,45.9%
1.24,15.7%,3.4%,66.3%,79.7%,53.3%
1.24,18.1%,3.6%,65.1%,77.8%,51.7%
0.98,6.6%,4.9%,59.8%,72.6%,55.1%
1.24,5.0%,11.3%,52.5%,81.0%,57.9%
1.30,11.3%,6.5%,56.5%,82.9%,51.9%
0.57,7.9%,6.3%,58.7%,64.9%,46.2%
0.85,9.7%,7.3%,59.7%,82.4%,46.0%
1.33,19.8%,3.3%,61.2%,82.4%,68.1%
1.32,12.1%,8.1%,57.6%,82.5%,50.0%
1.15,10.3%,9.2%,58.6%,84.3%,58.3%
1.41,6.7%,6.7%,55.0%,87.9%,55.6%
0.75,8.0%,2.3%,54.5%,75.0%,55.0%
1.43,7.7%,1.9%,63.5%,84.8%,36.8%
1.48,22.6%,6.5%,66.1%,90.2%,47.6%
0.90,9.3%,3.5%,59.3%,74.5%,48.6%
