DR,A%,DF%,1stIn,1st%,2nd%
1.31,8.8%,2.9%,67.6%,73.9%,68.2%
1.21,5.1%,5.1%,62.7%,81.1%,59.1%
1.39,6.8%,1.4%,71.6%,66.0%,71.4%
2.45,8.2%,2.0%,61.2%,90.0%,73.7%
0.70,7.1%,4.8%,61.9%,59.6%,43.8%
1.01,5.5%,0.9%,62.7%,65.2%,41.5%
0.89,5.5%,1.1%,61.5%,73.2%,42.9%
1.17,6.3%,2.1%,64.2%,77.0%,52.9%
1.82,4.3%,6.4%,55.3%,73.1%,61.9%
0.34,5.7%,5.7%,62.3%,60.6%,55.0%
0.66,2.4%,0.0%,48.8%,45.0%,38.1%
0.72,7.6%,10.6%,57.6%,60.5%,46.4%
0.33,12.3%,7.0%,66.7%,63.2%,47.4%
0.98,6.7%,1.9%,61.5%,75.0%,55.0%
0.64,4.5%,3.0%,56.7%,55.3%,44.8%
1.31,18.6%,8.6%,58.6%,90.2%,37.9%
1.58,11.1%,5.6%,63.0%,82.4%,40.0%
0.68,5.3%,2.7%,66.7%,68.0%,60.0%
1.05,15.4%,1.9%,67.3%,78.6%,55.9%
0.90,13.4%,3.7%,54.9%,66.7%,62.2%
2.20,6.8%,4.5%,59.1%,84.6%,77.8%
