DR,A%,DF%,1stIn,1st%,2nd%
0.75,4.0%,8.0%,52.0%,65.4%,41.7%
1.59,14.8%,1.9%,61.1%,78.8%,52.4%
1.41,4.2%,8.3%,43.8%,71.4%,55.6%
0.92,3.7%,6.4%,47.7%,65.4%,45.6%
0.41,1.6%,6.6%,47.5%,55.2%,46.9%
0.92,1.3%,2.6%,62.3%,58.3%,55.2%
1.16,7.6%,1.3%,58.2%,73.9%,48.5%
1.07,5.4%,2.7%,60.8%,71.1%,44.8%
0.77,0.0%,3.1%,55.4%,58.3%,51.7%
0.92,1.3%,2.6%,63.6%,67.3%,42.9%
0.87,1.7%,5.0%,58.3%,60.0%,40.0%
0.95,3.1%,6.3%,57.8%,67.6%,55.6%
0.66,9.1%,10.9%,60.0%,63.6%,22.7%
1.42,3.7%,2.5%,55.6%,95.6%,55.6%
0.85,4.5%,6.3%,55.9%,69.4%,32.7%
