DR,A%,DF%,1stIn,1st%,2nd%
0.66,7.8%,9.1%,53.2%,65.9%,44.4%
1.05,14.9%,6.4%,58.5%,89.1%,56.4%
1.21,14.3%,2.6%,54.5%,73.8%,51.4%
1.34,6.3%,6.3%,48.4%,74.2%,66.7%
0.30,0.0%,3.1%,59.4%,31.6%,15.4%
1.56,10.3%,1.5%,69.1%,76.6%,52.4%
1.32,5.1%,3.8%,57.0%,68.9%,47.1%
1.15,1.3%,5.3%,52.0%,71.8%,47.2%
0.55,7.0%,7.0%,53.5%,69.6%,30.0%
1.13,6.5%,2.8%,61.1%,80.3%,50.0%
1.14,21.1%,3.5%,70.2%,82.5%,64.7%
1.52,13.7%,5.3%,70.5%,80.6%,71.4%
1.81,7.4%,1.9%,59.3%,81.3%,63.6%
0.45,1.6%,6.3%,54.0%,50.0%,37.9%
1.02,2.6%,6.0%,56.0%,67.7%,64.7%
1.22,7.9%,6.6%,60.5%,78.3%,46.7%
0.44,0.0%,9.5%,57.1%,41.7%,22.2%
0.66,20.0%,1.8%,54.5%,76.7%,48.0%
0.69,11.1%,7.4%,70.4%,65.8%,43.8%
0.94,12.2%,4.1%,65.3%,75.0%,70.6%
2.21,3.2%,3.2%,67.7%,90.5%,50.0%
2.23,22.6%,1.9%,62.3%,93.9%,65.0%
1.36,14.3%,4.8%,60.3%,86.8%,40.0%
