DR,A%,DF%,1stIn,1st%,2nd%
0.86,9.2%,7.7%,51.5%,85.1%,52.4%
1.61,11.3%,6.5%,62.9%,74.4%,73.9%
1.64,12.9%,3.5%,57.6%,91.8%,61.1%
2.33,2.4%,2.4%,50.0%,81.0%,76.2%
0.69,7.2%,8.6%,56.1%,73.1%,47.5%
0.71,7.0%,1.8%,63.2%,58.3%,61.9%
0.91,2.7%,6.7%,68.0%,78.4%,41.7%
2.18,6.5%,3.2%,51.6%,81.3%,73.3%
0.85,10.1%,2.8%,45.0%,73.5%,48.3%
1.95,22.6%,3.2%,58.1%,91.7%,69.2%
1.48,8.0%,2.0%,58.0%,69.0%,66.7%
1.66,6.4%,6.4%,48.9%,69.6%,62.5%
0.96,9.8%,4.3%,53.3%,77.6%,48.8%
0.46,2.0%,0.0%,60.8%,48.4%,45.0%
0.48,0.0%,10.5%,60.5%,43.5%,40.0%
1.08,26.3%,7.9%,65.8%,78.0%,50.0%
1.28,14.1%,1.6%,57.8%,75.7%,66.7%
0.42,2.4%,4.9%,63.4%,42.3%,53.3%
1.31,5.6%,5.6%,56.9%,75.6%,67.7%
2.18,2.6%,0.0%,48.7%,84.2%,65.0%
