DR,A%,DF%,1stIn,1st%,2nd%
1.53,5.4%,5.4%,62.5%,77.1%,57.1%
0.63,0.0%,8.6%,53.4%,54.8%,44.4%
0.51,7.1%,4.8%,57.1%,66.7%,44.4%
1.03,13.4%,3.1%,61.9%,75.0%,43.2%
1.37,7.1%,5.4%,55.4%,83.9%,60.0%
1.73,18.5%,3.7%,61.1%,81.8%,76.2%
1.30,22.2%,2.8%,66.7%,81.3%,58.3%
0.72,11.7%,2.6%,70.1%,66.7%,43.5%
1.20,12.7%,1.6%,69.8%,77.3%,42.1%
0.67,9.8%,9.8%,65.6%,67.5%,23.8%
0.84,8.7%,4.3%,60.9%,71.4%,48.1%
0.46,17.3%,1.9%,51.9%,74.1%,48.0%
0.87,6.7%,1.1%,72.2%,67.7%,64.0%
0.50,12.4%,4.5%,65.2%,72.4%,45.2%
2.16,20.2%,2.2%,66.3%,88.1%,76.7%
1.02,20.8%,4.0%,63.4%,70.3%,32.4%
1.26,23.6%,0.0%,69.4%,78.0%,59.1%
1.03,29.3%,1.3%,61.3%,80.4%,44.8%
