DR,A%,DF%,1stIn,1st%,2nd%
0.89,3.6%,9.1%,60.0%,78.8%,31.8%
1.00,7.3%,0.0%,56.9%,62.9%,59.6%
0.93,4.5%,1.1%,66.3%,62.7%,43.3%
1.81,7.5%,0.0%,70.1%,80.9%,80.0%
0.89,7.6%,3.0%,65.2%,76.7%,52.2%
1.15,9.5%,3.8%,69.5%,79.5%,50.0%
0.87,9.1%,3.0%,59.1%,66.7%,37.0%
1.64,6.3%,0.0%,68.8%,75.8%,60.0%
0.95,13.1%,2.8%,65.4%,62.9%,48.6%
0.83,8.0%,2.7%,66.1%,79.7%,52.6%
0.71,5.6%,6.9%,61.1%,79.5%,39.3%
1.42,11.7%,5.0%,63.3%,76.3%,36.4%
1.27,7.8%,2.0%,72.5%,78.4%,53.6%
1.53,5.5%,3.6%,65.5%,72.2%,57.9%
1.77,8.5%,1.7%,71.2%,81.0%,64.7%
0.88,2.6%,1.3%,71.1%,55.6%,50.0%
1.78,3.9%,3.9%,80.4%,75.6%,60.0%
1.30,5.8%,5.8%,48.1%,76.0%,59.3%
