DR,A%,DF%,1stIn,1st%,2nd%
1.77,6.5%,0.0%,76.1%,77.1%,54.5%
1.20,0.0%,3.1%,56.1%,69.1%,51.2%
0.72,1.7%,3.4%,55.2%,50.0%,46.2%
0.85,1.2%,1.2%,44.6%,62.2%,50.0%
0.70,1.5%,1.5%,70.1%,66.0%,40.0%
1.37,0.0%,2.0%,72.0%,72.2%,50.0%
1.21,9.0%,3.8%,64.1%,74.0%,42.9%
1.66,5.8%,1.9%,61.5%,78.1%,65.0%
0.69,4.6%,3.1%,53.8%,60.0%,40.0%
1.58,17.6%,2.9%,61.8%,85.7%,38.5%
0.74,4.8%,3.2%,53.2%,48.5%,51.7%
0.83,6.1%,6.8%,54.5%,68.1%,53.3%
1.15,2.3%,0.0%,59.1%,69.2%,52.8%
0.68,9.4%,0.0%,67.9%,55.6%,41.2%
1.51,10.5%,3.5%,63.2%,72.2%,47.6%
1.02,6.1%,2.0%,58.6%,69.0%,46.3%
0.51,1.5%,1.5%,60.0%,56.4%,57.7%
1.30,11.5%,3.3%,63.9%,79.5%,50.0%
1.96,9.1%,4.5%,75.0%,84.8%,45.5%
