DR,A%,DF%,1stIn,1st%,2nd%
0.88,3.0%,5.9%,43.0%,69.0%,53.2%
0.94,2.2%,1.5%,68.4%,63.4%,48.8%
0.70,0.0%,0.0%,54.2%,61.5%,45.5%
1.11,0.0%,1.4%,72.2%,69.2%,55.0%
2.10,4.7%,2.3%,69.8%,73.3%,84.6%
1.35,0.0%,3.6%,52.7%,79.3%,50.0%
1.13,1.3%,2.5%,66.3%,62.3%,51.9%
1.27,5.6%,1.4%,66.2%,72.3%,58.3%
0.56,0.0%,6.7%,53.3%,68.8%,21.4%
0.89,1.1%,5.4%,63.4%,76.3%,58.8%
0.54,1.9%,3.8%,65.4%,58.8%,38.9%
1.27,1.4%,2.9%,67.1%,72.3%,60.9%
1.53,8.1%,0.0%,68.9%,76.5%,47.8%
1.45,5.2%,0.0%,70.7%,73.2%,64.7%
1.08,5.5%,8.2%,50.9%,75.0%,51.9%
1.49,4.0%,2.0%,68.0%,70.6%,56.3%
0.30,0.0%,0.0%,50.0%,33.3%,33.3%
1.17,4.3%,0.0%,59.4%,78.0%,42.9%
0.64,0.0%,1.5%,67.2%,57.8%,54.5%
0.55,3.4%,1.7%,56.9%,51.5%,52.0%
1.40,6.9%,0.0%,56.9%,78.0%,58.1%
