DR,A%,DF%,1stIn,1st%,2nd%
0.89,14.6%,2.3%,65.4%,72.9%,55.6%
1.18,17.1%,0.0%,64.3%,80.0%,36.0%
1.88,14.0%,2.0%,76.0%,81.6%,58.3%
0.76,6.5%,0.0%,50.0%,74.2%,51.6%
0.56,16.3%,2.3%,58.1%,56.0%,38.9%
0.98,17.1%,1.3%,60.5%,78.3%,50.0%
0.87,14.7%,3.2%,54.7%,84.6%,48.8%
0.85,10.1%,1.0%,62.6%,72.6%,51.4%
1.40,18.1%,1.1%,63.8%,80.0%,55.9%
1.44,14.0%,0.0%,67.4%,82.8%,57.1%
1.90,14.6%,2.1%,56.3%,85.2%,66.7%
0.72,17.1%,7.3%,64.6%,77.4%,37.9%
1.58,16.9%,1.2%,75.9%,77.8%,65.0%
1.00,17.7%,0.0%,66.7%,79.7%,62.5%
2.07,21.7%,0.0%,76.1%,80.0%,72.7%
1.63,26.9%,0.0%,76.1%,88.2%,56.3%
1.11,16.5%,3.5%,64.7%,72.7%,70.0%
0.65,13.8%,0.0%,69.0%,70.0%,44.4%
0.42,11.3%,3.8%,66.0%,60.0%,22.2%
