DR,A%,DF%,1stIn,1st%,2nd%
0.84,1.8%,0.0%,66.7%,63.2%,57.9%
1.19,2.3%,1.1%,64.8%,70.2%,54.8%
0.78,4.6%,0.0%,80.0%,59.6%,30.8%
1.36,5.6%,1.1%,73.0%,75.4%,54.2%
0.79,5.2%,1.7%,70.7%,51.2%,47.1%
1.14,2.9%,0.0%,69.6%,58.3%,76.2%
0.87,2.9%,1.9%,78.6%,74.1%,36.4%
0.61,6.6%,4.9%,75.4%,56.5%,33.3%
0.72,1.9%,3.8%,71.4%,61.3%,46.7%
1.16,4.5%,0.0%,77.3%,67.1%,68.0%
0.58,5.4%,3.6%,75.0%,52.4%,42.9%
0.88,2.5%,2.5%,72.7%,65.9%,45.5%
1.75,7.7%,0.0%,80.8%,69.0%,60.0%
1.16,2.8%,0.9%,77.4%,69.5%,58.3%
1.13,3.0%,3.0%,71.2%,70.2%,63.2%
0.85,1.8%,1.8%,76.8%,65.1%,38.5%
1.10,1.4%,0.0%,68.6%,66.7%,54.5%
1.89,4.2%,2.1%,62.5%,80.0%,61.1%
0.81,1.0%,2.0%,70.7%,55.7%,37.9%
1.29,1.1%,0.0%,64.5%,71.7%,57.6%
1.26,4.5%,0.0%,72.7%,76.6%,66.7%
1.40,5.4%,2.7%,81.1%,66.7%,50.0%
0.96,1.2%,1.2%,79.8%,68.7%,41.2%
