DR,A%,DF%,1stIn,1st%,2nd%
0.73,1.3%,3.8%,66.3%,71.7%,51.9%
0.97,1.9%,1.9%,64.2%,61.8%,57.9%
0.81,3.5%,5.3%,50.9%,72.4%,50.0%
1.33,4.8%,1.6%,50.0%,80.6%,58.1%
0.90,0.8%,3.1%,50.0%,68.8%,50.0%
0.58,2.1%,0.0%,57.4%,66.7%,45.0%
0.66,6.3%,6.3%,52.1%,52.0%,30.4%
0.93,3.2%,2.2%,46.2%,72.1%,46.0%
1.10,5.3%,4.2%,51.6%,69.4%,45.7%
0.60,5.2%,1.0%,55.2%,71.7%,46.5%
1.26,4.4%,4.4%,48.9%,63.6%,65.2%
0.63,0.0%,2.8%,54.2%,64.1%,39.4%
1.48,3.8%,5.7%,58.5%,87.1%,40.9%
0.71,5.3%,0.0%,56.1%,68.8%,40.0%
1.39,4.7%,4.7%,60.9%,84.6%,56.0%
1.41,5.2%,0.0%,48.3%,67.9%,66.7%
1.02,1.8%,7.1%,41.1%,95.7%,48.5%
1.29,8.3%,1.7%,46.7%,89.3%,40.6%
2.67,2.7%,2.7%,54.1%,80.0%,70.6%
2.01,2.2%,6.7%,46.7%,85.7%,66.7%
