DR,A%,DF%,1stIn,1st%,2nd%
0.72,8.2%,1.4%,75.3%,61.8%,38.9%
0.80,5.5%,5.5%,54.8%,57.5%,39.4%
0.82,6.6%,1.6%,65.6%,60.0%,61.9%
1.25,4.9%,9.8%,54.1%,75.8%,64.3%
1.33,5.0%,1.7%,60.0%,75.0%,54.2%
0.53,8.1%,6.5%,66.1%,51.2%,23.8%
1.27,6.5%,8.1%,72.6%,64.4%,29.4%
1.21,20.2%,6.7%,62.9%,83.9%,63.6%
0.60,3.2%,9.7%,45.2%,53.6%,47.1%
1.05,8.8%,13.2%,54.9%,78.0%,46.3%
1.31,9.8%,6.6%,47.5%,72.4%,75.0%
1.31,13.2%,7.5%,43.4%,78.3%,63.3%
0.59,10.8%,4.6%,60.0%,59.0%,46.2%
1.40,8.1%,4.1%,63.5%,74.5%,77.8%
1.75,20.4%,6.1%,57.1%,75.0%,66.7%
0.89,8.8%,3.8%,61.3%,67.3%,41.9%
0.86,12.2%,4.3%,67.0%,66.2%,36.8%
1.62,12.9%,4.8%,69.4%,86.0%,57.9%
0.72,11.4%,7.0%,61.4%,72.9%,38.6%
1.26,10.8%,8.4%,54.2%,82.2%,39.5%
