DR,A%,DF%,1stIn,1st%,2nd%
0.78,8.1%,3.5%,64.0%,56.4%,32.3%
0.93,6.3%,3.8%,64.6%,64.7%,42.9%
1.83,7.0%,0.0%,67.4%,86.2%,78.6%
2.20,9.1%,0.0%,68.2%,76.7%,78.6%
1.46,5.5%,0.0%,56.4%,71.0%,62.5%
1.33,9.8%,0.0%,75.4%,69.6%,53.3%
1.01,9.7%,1.9%,59.2%,62.3%,42.9%
0.80,2.7%,1.4%,64.9%,62.5%,42.3%
1.02,1.3%,1.3%,64.6%,70.6%,53.6%
1.52,1.5%,0.0%,75.4%,73.5%,75.0%
1.65,1.7%,3.3%,63.3%,60.5%,68.2%
1.87,4.3%,0.0%,78.3%,72.2%,80.0%
0.63,1.2%,3.7%,66.7%,57.4%,40.7%
1.53,1.8%,1.8%,61.8%,70.6%,76.2%
0.86,0.0%,2.4%,69.0%,62.1%,42.3%
1.76,7.0%,0.0%,72.1%,77.4%,50.0%
1.26,1.1%,1.1%,71.3%,69.4%,44.0%
1.03,1.3%,3.8%,63.7%,64.7%,51.7%
0.64,1.6%,0.0%,65.6%,42.5%,42.9%
0.77,1.1%,4.6%,56.3%,61.2%,42.1%
