DR,A%,DF%,1stIn,1st%,2nd%
1.00,20.0%,0.0%,80.0%,100.0%,0.0%
0.69,8.1%,0.0%,66.1%,70.7%,42.9%
1.44,11.4%,4.3%,65.7%,73.9%,29.2%
1.13,7.0%,2.6%,63.2%,73.6%,59.5%
1.45,5.2%,0.0%,62.1%,77.8%,40.9%
0.84,4.1%,4.1%,59.8%,69.0%,53.8%
1.60,12.5%,12.5%,52.5%,90.5%,36.8%
1.98,8.7%,6.5%,60.9%,92.9%,50.0%
0.95,25.0%,0.0%,68.8%,81.8%,20.0%
0.94,13.3%,3.3%,46.7%,69.0%,47.9%
0.85,10.0%,5.0%,53.8%,74.4%,48.6%
1.06,14.5%,7.9%,63.2%,58.3%,35.7%
1.06,12.1%,8.1%,40.4%,70.0%,45.8%
0.93,8.3%,8.3%,41.7%,86.7%,38.1%
0.61,12.9%,8.1%,53.2%,66.7%,37.9%
1.03,16.7%,4.4%,53.3%,68.8%,66.7%
2.15,8.3%,10.4%,45.8%,86.4%,69.2%
0.60,6.8%,4.1%,45.2%,75.8%,40.0%
0.88,7.6%,3.0%,57.6%,76.3%,50.0%
1.46,17.9%,5.4%,48.2%,92.6%,55.2%
