DR,A%,DF%,1stIn,1st%,2nd%
1.06,2.8%,2.8%,62.5%,71.1%,55.6%
1.86,6.1%,4.1%,59.2%,82.8%,70.0%
1.45,10.8%,0.0%,70.8%,76.1%,42.1%
0.98,5.9%,2.9%,63.7%,72.3%,45.9%
1.24,4.1%,1.4%,67.1%,77.6%,58.3%
2.11,9.3%,2.3%,67.4%,75.9%,78.6%
2.36,9.8%,2.4%,51.2%,85.7%,70.0%
1.32,7.3%,0.0%,73.2%,73.3%,54.5%
1.50,9.4%,3.8%,50.9%,85.2%,69.2%
0.93,5.1%,10.2%,48.0%,63.8%,49.0%
2.03,11.6%,4.7%,62.8%,81.5%,56.3%
0.74,13.0%,2.2%,65.2%,73.3%,53.1%
1.84,21.7%,0.0%,56.5%,92.3%,50.0%
1.09,5.8%,2.9%,68.1%,63.8%,50.0%
1.34,4.4%,1.5%,72.1%,67.3%,73.7%
1.27,14.0%,3.5%,61.4%,91.4%,45.5%
1.86,7.1%,5.4%,53.6%,90.0%,61.5%
1.36,10.0%,10.0%,55.0%,75.8%,44.4%
0.69,13.3%,2.2%,65.6%,69.5%,54.8%
1.38,17.1%,1.2%,62.2%,88.2%,41.9%
1.38,9.8%,3.7%,72.0%,76.3%,65.2%
3.60,15.2%,3.0%,54.5%,83.3%,86.7%
1.24,12.7%,0.0%,71.4%,75.6%,66.7%
