DR,A%,DF%,1stIn,1st%,2nd%
0.63,3.7%,4.9%,59.3%,72.9%,39.4%
1.33,1.9%,9.4%,54.7%,69.0%,50.0%
0.83,9.3%,8.0%,60.0%,66.7%,40.0%
1.10,11.5%,3.8%,59.0%,78.3%,43.8%
1.60,10.0%,5.0%,58.3%,82.9%,60.0%
1.27,7.0%,2.8%,60.6%,69.8%,46.4%
1.14,3.7%,1.2%,57.3%,70.2%,57.1%
0.53,0.0%,9.5%,40.5%,58.8%,44.0%
1.32,5.8%,1.4%,58.0%,65.0%,51.7%
0.62,1.3%,7.5%,56.3%,66.7%,45.7%
1.36,6.9%,2.8%,55.6%,75.0%,59.4%
0.51,6.8%,5.1%,67.8%,57.5%,52.6%
0.88,13.0%,4.0%,65.0%,72.3%,45.7%
1.35,7.4%,11.1%,53.7%,86.2%,44.0%
1.66,6.0%,2.0%,56.0%,75.0%,72.7%
0.64,9.1%,7.6%,63.6%,66.7%,29.2%
1.34,10.7%,0.0%,64.0%,85.4%,51.9%
0.88,3.3%,3.3%,54.4%,55.1%,56.1%
0.73,1.4%,11.4%,45.7%,53.1%,55.3%
1.42,3.2%,7.9%,55.6%,71.4%,53.6%
1.43,3.1%,4.7%,64.1%,78.0%,60.9%
