DR,A%,DF%,1stIn,1st%,2nd%
0.11,0.0%,0.0%,63.6%,28.6%,37.5%
1.03,6.5%,2.8%,57.0%,65.6%,56.5%
0.72,6.5%,8.1%,58.1%,66.7%,38.5%
0.95,3.8%,9.4%,61.3%,80.0%,39.0%
1.16,14.7%,7.3%,56.9%,83.9%,59.6%
1.51,20.3%,5.1%,67.8%,82.5%,57.9%
0.82,10.6%,4.7%,65.9%,76.8%,31.0%
1.20,9.0%,4.5%,55.2%,81.1%,56.7%
1.32,10.2%,8.5%,52.5%,83.9%,50.0%
0.92,4.0%,3.0%,58.0%,70.7%,50.0%
1.06,4.5%,4.5%,58.0%,80.4%,59.5%
0.81,1.9%,9.4%,58.5%,64.5%,40.9%
0.52,5.7%,11.3%,49.1%,69.2%,37.0%
0.66,13.1%,5.6%,58.9%,63.5%,38.6%
2.08,14.3%,4.3%,62.9%,77.3%,76.9%
0.95,16.3%,9.8%,58.7%,83.3%,34.2%
1.63,10.6%,8.5%,61.7%,72.4%,61.1%
1.46,8.8%,5.3%,59.6%,79.4%,69.6%
0.67,9.5%,7.9%,55.6%,68.6%,28.6%
