DR,A%,DF%,1stIn,1st%,2nd%
1.12,14.8%,5.2%,54.8%,85.7%,51.9%
1.43,15.6%,3.1%,54.7%,82.9%,58.6%
1.08,9.6%,2.7%,52.1%,73.7%,71.4%
0.92,11.6%,2.1%,65.3%,80.6%,42.4%
2.00,20.4%,2.0%,63.3%,77.4%,77.8%
1.79,11.6%,4.7%,65.1%,92.9%,40.0%
1.16,21.2%,6.1%,66.7%,75.0%,36.4%
0.99,13.8%,4.3%,51.1%,75.0%,54.3%
0.97,17.9%,1.3%,66.7%,76.9%,53.8%
1.19,24.8%,4.0%,72.3%,82.2%,53.6%
1.59,24.5%,3.8%,66.0%,85.7%,50.0%
1.10,27.3%,1.8%,74.5%,87.8%,42.9%
1.35,27.6%,0.0%,65.8%,86.0%,53.8%
1.09,26.7%,3.5%,66.3%,84.2%,31.0%
0.84,8.4%,2.8%,46.7%,60.0%,57.9%
1.12,5.5%,2.8%,59.6%,80.0%,54.5%
2.24,13.6%,2.3%,70.5%,90.3%,61.5%
1.35,12.5%,7.1%,57.1%,87.5%,54.2%
0.84,8.8%,6.3%,52.5%,69.0%,42.1%
1.17,11.4%,7.6%,55.7%,72.7%,48.6%
