DR,A%,DF%,1stIn,1st%,2nd%
6.20,3.2%,0.0%,54.8%,94.1%,85.7%
1.97,6.9%,3.4%,46.6%,85.2%,77.4%
1.31,10.8%,2.7%,52.7%,82.1%,62.9%
1.31,12.9%,1.6%,64.5%,80.0%,68.2%
2.59,2.5%,2.5%,45.0%,88.9%,72.7%
1.05,11.5%,11.5%,51.3%,85.0%,50.0%
1.61,10.5%,5.3%,63.2%,80.6%,61.9%
0.52,5.2%,5.2%,58.6%,58.8%,41.7%
1.01,7.2%,8.4%,51.8%,76.7%,42.5%
1.50,8.9%,12.5%,50.0%,85.7%,57.1%
1.18,19.5%,3.9%,49.4%,73.7%,56.4%
1.55,6.7%,5.0%,41.7%,76.0%,68.6%
1.49,10.6%,2.1%,46.8%,72.7%,52.0%
0.66,8.6%,0.0%,67.1%,76.6%,56.5%
1.34,0.0%,4.2%,51.4%,78.4%,54.3%
0.75,8.6%,7.1%,58.6%,75.6%,48.3%
0.68,7.5%,11.9%,47.8%,62.5%,40.0%
1.11,4.9%,1.2%,46.9%,76.3%,62.8%
0.70,17.8%,4.4%,53.3%,58.3%,47.6%
0.80,13.0%,2.2%,70.7%,69.2%,51.9%
0.59,9.1%,1.3%,64.9%,74.0%,55.6%
4.47,9.4%,0.0%,71.9%,91.3%,77.8%
