DR,A%,DF%,1stIn,1st%,2nd%
1.15,2.2%,0.0%,65.9%,66.7%,48.4%
1.59,7.7%,1.9%,63.5%,63.6%,68.4%
1.24,1.6%,1.6%,60.3%,63.2%,68.0%
1.52,6.3%,2.1%,60.0%,84.2%,63.2%
1.56,9.0%,0.0%,57.3%,74.5%,63.2%
2.80,3.4%,0.0%,64.4%,84.2%,81.0%
1.45,13.3%,5.7%,56.2%,83.1%,58.7%
1.54,9.6%,2.4%,60.2%,82.0%,51.5%
1.40,14.0%,5.0%,62.0%,77.4%,55.3%
1.48,6.9%,1.0%,57.4%,82.8%,69.8%
1.40,25.0%,1.7%,73.3%,79.5%,56.3%
1.40,7.0%,0.0%,64.9%,81.1%,45.0%
1.74,12.1%,3.4%,53.4%,71.0%,63.0%
1.41,25.0%,0.0%,71.4%,82.5%,62.5%
2.06,19.6%,0.0%,58.7%,81.5%,63.2%
1.71,8.2%,0.0%,57.1%,82.1%,71.4%
1.24,9.1%,0.0%,59.1%,76.9%,59.3%
2.14,16.3%,2.0%,65.3%,81.3%,76.5%
1.03,11.9%,0.0%,61.2%,75.6%,65.4%
1.33,14.5%,1.4%,66.7%,73.9%,60.9%
1.94,18.0%,0.0%,66.0%,84.8%,58.8%
1.31,10.6%,0.0%,69.7%,87.0%,65.0%
1.30,13.0%,1.1%,69.6%,78.1%,53.6%
1.91,24.5%,2.0%,77.6%,84.2%,45.5%
