DR,A%,DF%,1stIn,1st%,2nd%
1.15,5.2%,4.3%,60.9%,70.0%,64.4%
1.19,6.2%,6.2%,59.3%,75.0%,51.5%
1.88,9.5%,0.0%,66.7%,75.0%,57.1%
1.45,3.9%,11.8%,54.9%,82.1%,43.5%
1.91,15.7%,3.9%,68.6%,85.7%,68.8%
0.93,7.5%,4.5%,63.9%,68.2%,37.5%
1.77,13.7%,5.9%,51.0%,84.6%,60.0%
1.81,8.9%,8.9%,53.3%,87.5%,38.1%
1.26,16.7%,6.1%,65.2%,83.7%,39.1%
0.56,20.4%,10.2%,59.2%,77.6%,40.0%
1.11,10.8%,2.4%,67.5%,75.0%,55.6%
1.88,12.8%,2.1%,72.3%,85.3%,46.2%
1.96,26.5%,4.1%,61.2%,83.3%,68.4%
0.70,7.0%,10.5%,45.6%,73.1%,29.0%
1.21,9.2%,1.3%,67.1%,78.4%,72.0%
1.41,7.5%,6.3%,70.0%,82.1%,54.2%
1.39,10.3%,6.9%,67.2%,79.5%,47.4%
1.53,9.1%,3.6%,60.0%,87.9%,40.9%
2.11,7.3%,0.0%,78.0%,78.1%,66.7%
1.29,10.5%,4.7%,50.0%,83.7%,39.5%
1.50,11.7%,5.0%,43.3%,80.8%,52.9%
1.26,11.4%,4.3%,60.0%,78.6%,53.6%
2.76,15.6%,3.1%,65.6%,90.5%,72.7%
