DR,A%,DF%,1stIn,1st%,2nd%
1.42,1.9%,3.8%,71.2%,75.7%,46.7%
1.94,0.0%,4.3%,70.2%,72.7%,71.4%
1.18,8.5%,3.2%,59.6%,73.2%,47.4%
0.74,2.4%,6.0%,55.4%,58.7%,40.5%
0.99,8.2%,1.4%,65.8%,68.8%,32.0%
0.86,1.2%,3.6%,59.5%,64.0%,44.1%
1.15,3.2%,4.3%,57.0%,66.0%,50.0%
1.03,0.0%,2.0%,71.3%,59.7%,55.2%
0.61,9.3%,9.3%,42.6%,87.0%,32.3%
0.97,7.7%,1.9%,65.4%,72.1%,55.6%
1.71,0.0%,0.0%,58.5%,77.4%,68.2%
1.15,4.2%,2.8%,60.6%,79.1%,50.0%
0.99,6.1%,6.1%,66.3%,61.5%,51.5%
0.83,0.0%,1.1%,75.3%,64.2%,63.6%
1.13,4.2%,4.2%,66.2%,72.3%,45.8%
1.04,6.6%,1.1%,67.0%,65.6%,53.3%
1.10,4.5%,5.6%,64.0%,75.4%,62.5%
1.42,3.2%,4.8%,74.6%,83.0%,50.0%
1.37,5.2%,3.4%,69.0%,72.5%,55.6%
