DR,A%,DF%,1stIn,1st%,2nd%
0.80,0.0%,2.9%,54.3%,55.3%,50.0%
0.77,3.2%,1.6%,51.6%,62.5%,43.3%
1.53,8.6%,1.7%,70.7%,63.4%,70.6%
0.92,0.0%,1.8%,67.9%,62.2%,51.4%
1.04,0.0%,3.5%,64.0%,61.8%,51.6%
1.08,4.0%,3.0%,57.6%,78.9%,45.2%
1.74,7.5%,1.9%,56.6%,76.7%,78.3%
1.56,3.8%,5.7%,58.5%,87.1%,54.5%
1.05,5.2%,6.3%,63.5%,63.9%,51.4%
1.08,7.7%,0.0%,67.9%,67.9%,60.0%
0.54,1.2%,4.9%,54.3%,56.8%,56.8%
1.27,1.8%,5.4%,58.9%,78.8%,56.5%
0.98,1.0%,2.0%,51.0%,70.6%,49.0%
1.02,1.1%,6.5%,56.5%,67.3%,47.5%
1.32,0.0%,5.0%,58.3%,65.7%,72.0%
0.82,2.8%,0.9%,75.0%,60.5%,44.4%
0.69,8.2%,4.9%,55.7%,55.9%,37.0%
0.46,1.3%,5.0%,58.8%,66.0%,21.2%
0.61,2.0%,4.1%,62.2%,60.7%,43.2%
1.19,1.4%,1.4%,56.6%,63.0%,58.1%
1.37,8.7%,1.9%,66.0%,76.5%,57.1%
