DR,A%,DF%,1stIn,1st%,2nd%
2.13,2.4%,2.4%,58.5%,83.3%,58.8%
4.85,18.5%,0.0%,66.7%,100.0%,66.7%
0.97,7.0%,1.8%,57.9%,69.7%,47.9%
0.78,13.6%,7.6%,66.7%,63.6%,18.2%
1.73,10.3%,6.9%,62.1%,80.6%,59.1%
1.92,19.6%,6.5%,65.2%,86.7%,50.0%
0.59,8.5%,3.7%,51.2%,81.0%,47.5%
0.74,9.3%,9.3%,60.5%,73.1%,29.4%
0.59,1.9%,3.7%,66.7%,55.6%,33.3%
1.51,12.1%,1.5%,77.3%,76.5%,26.7%
0.94,14.5%,7.2%,56.6%,68.1%,55.6%
0.89,17.3%,5.5%,55.5%,75.4%,30.6%
2.22,17.8%,2.2%,62.2%,85.7%,58.8%
0.65,16.1%,6.9%,56.3%,73.5%,60.5%
