DR,A%,DF%,1stIn,1st%,2nd%
0.63,1.7%,1.7%,48.3%,53.6%,36.7%
1.63,4.4%,2.2%,66.7%,76.7%,33.3%
1.78,9.3%,3.7%,61.1%,87.9%,52.4%
0.76,8.3%,2.8%,51.4%,62.2%,62.9%
1.39,10.2%,1.7%,59.3%,77.1%,41.7%
0.91,4.1%,4.1%,56.2%,68.3%,34.4%
1.65,4.0%,2.0%,56.0%,85.7%,59.1%
1.05,6.5%,3.3%,67.4%,75.8%,63.3%
0.57,4.2%,6.3%,60.4%,48.3%,42.1%
1.48,10.8%,3.1%,56.9%,78.4%,67.9%
1.36,4.2%,0.0%,62.5%,71.1%,66.7%
0.52,3.5%,7.0%,49.1%,64.3%,48.3%
4.14,6.7%,2.2%,55.6%,92.0%,85.0%
1.13,11.5%,1.9%,71.2%,78.4%,40.0%
1.26,5.5%,2.2%,58.2%,79.2%,44.7%
1.72,6.7%,2.2%,68.9%,77.4%,64.3%
1.32,1.5%,1.5%,61.2%,73.2%,53.8%
1.08,16.3%,3.8%,63.7%,80.4%,44.8%
1.52,5.0%,6.7%,61.7%,75.7%,65.2%
1.06,5.4%,4.3%,56.5%,69.2%,40.0%
1.86,12.2%,6.1%,57.1%,85.7%,66.7%
