DR,A%,DF%,1stIn,1st%,2nd%
1.04,7.3%,5.2%,51.0%,65.3%,42.6%
0.84,13.6%,4.5%,59.1%,64.1%,51.9%
0.81,3.8%,7.6%,57.1%,66.7%,37.8%
1.37,7.7%,0.0%,63.1%,87.8%,54.2%
0.81,8.2%,3.1%,54.6%,67.9%,59.1%
1.15,4.3%,3.2%,50.5%,72.3%,60.9%
0.50,1.8%,1.8%,65.5%,52.8%,31.6%
0.73,5.6%,0.8%,58.1%,68.1%,48.1%
0.87,8.3%,2.1%,62.5%,73.3%,36.1%
1.98,10.9%,0.0%,71.7%,72.7%,92.3%
1.51,14.8%,0.0%,74.1%,87.5%,42.9%
0.69,7.9%,0.0%,68.4%,61.5%,66.7%
1.22,7.6%,4.5%,68.2%,73.3%,57.1%
0.69,10.4%,3.8%,56.6%,78.3%,41.3%
1.65,11.8%,1.3%,68.4%,80.8%,58.3%
1.60,13.6%,4.5%,43.2%,100.0%,44.0%
1.51,12.6%,1.9%,65.0%,80.6%,72.2%
