DR,A%,DF%,1stIn,1st%,2nd%
0.68,5.9%,5.9%,54.4%,62.2%,58.1%
0.61,1.8%,0.0%,66.1%,62.2%,47.4%
1.02,2.2%,2.2%,71.9%,73.4%,48.0%
1.40,9.4%,1.9%,69.8%,73.0%,50.0%
0.85,4.3%,1.1%,66.3%,68.9%,45.2%
3.96,12.5%,0.0%,65.0%,96.2%,78.6%
1.15,10.1%,3.0%,63.6%,71.4%,63.9%
1.25,9.3%,2.3%,66.3%,68.4%,62.1%
1.72,14.0%,2.0%,66.0%,75.8%,70.6%
1.41,5.2%,1.7%,65.5%,78.9%,50.0%
1.23,4.7%,2.3%,68.6%,72.9%,44.4%
1.85,2.0%,0.0%,67.3%,81.8%,62.5%
0.73,0.0%,2.2%,52.2%,58.3%,36.4%
1.13,3.6%,2.4%,58.3%,69.4%,48.6%
0.63,7.0%,2.8%,71.8%,70.6%,30.0%
1.14,5.3%,2.7%,64.0%,72.9%,44.4%
1.29,8.6%,2.2%,71.0%,77.3%,55.6%
0.97,9.1%,2.7%,66.4%,60.3%,48.6%
1.03,1.3%,2.5%,60.0%,68.8%,46.9%
1.33,5.8%,3.8%,69.2%,66.7%,62.5%
