DR,A%,DF%,1stIn,1st%,2nd%
1.24,6.3%,3.8%,56.3%,80.0%,65.7%
0.82,6.4%,1.3%,61.5%,70.8%,50.0%
1.71,2.0%,2.0%,59.2%,75.9%,75.0%
0.84,3.2%,3.2%,61.1%,62.1%,48.6%
0.64,18.3%,0.0%,70.0%,69.0%,50.0%
1.81,10.6%,1.5%,65.2%,88.4%,69.6%
1.10,12.6%,2.1%,61.1%,72.4%,59.5%
0.89,1.9%,3.8%,47.2%,66.0%,51.8%
0.57,7.4%,2.5%,63.0%,62.7%,46.7%
1.13,14.1%,2.3%,52.3%,77.6%,59.0%
0.45,3.8%,3.8%,46.2%,58.3%,42.9%
1.47,5.0%,1.7%,61.7%,75.7%,65.2%
0.75,6.5%,4.3%,60.2%,73.2%,43.2%
0.70,6.9%,0.0%,60.3%,71.4%,43.5%
1.34,9.7%,1.4%,51.4%,89.2%,45.7%
0.99,10.1%,1.0%,50.5%,74.0%,53.1%
1.28,13.8%,1.5%,47.7%,83.9%,61.8%
0.73,8.5%,4.3%,61.7%,72.4%,38.9%
0.64,10.4%,4.2%,56.3%,63.0%,33.3%
1.26,18.9%,2.7%,59.5%,84.1%,46.7%
