DR,A%,DF%,1stIn,1st%,2nd%
1.11,2.7%,2.7%,51.4%,71.1%,47.2%
0.64,1.9%,1.9%,53.8%,60.7%,37.5%
1.27,0.0%,0.0%,58.6%,73.2%,65.5%
0.51,4.8%,2.4%,54.8%,47.8%,47.4%
0.99,6.5%,0.0%,74.0%,78.9%,55.0%
1.00,8.6%,5.7%,64.8%,73.5%,48.6%
1.03,5.2%,4.3%,62.6%,65.3%,55.8%
1.07,10.0%,0.0%,70.0%,71.4%,72.2%
1.13,9.6%,6.0%,43.4%,61.1%,53.2%
1.56,5.6%,5.6%,57.4%,77.4%,56.5%
1.51,3.8%,7.7%,44.2%,73.9%,55.2%
0.76,1.4%,2.8%,64.8%,47.8%,36.0%
1.43,6.2%,3.1%,63.1%,75.6%,37.5%
0.91,5.6%,3.7%,55.6%,56.7%,50.0%
1.36,0.0%,4.6%,55.4%,63.9%,65.5%
2.26,25.0%,5.0%,50.0%,90.0%,60.0%
1.02,1.6%,0.0%,59.4%,55.3%,61.5%
0.79,7.7%,4.6%,67.7%,63.6%,47.6%
1.32,10.0%,2.0%,54.0%,66.7%,52.2%
1.20,6.0%,12.0%,50.0%,60.0%,52.0%
1.28,3.4%,4.6%,56.3%,71.4%,55.3%
