DR,A%,DF%,1stIn,1st%,2nd%
0.73,3.4%,4.5%,57.3%,56.9%,36.8%
1.14,20.0%,0.0%,80.0%,75.0%,100.0%
0.95,11.7%,5.2%,74.0%,77.2%,30.0%
1.56,16.7%,3.7%,74.1%,80.0%,35.7%
2.02,6.8%,1.7%,55.9%,87.9%,76.9%
0.51,0.0%,0.0%,82.4%,64.3%,0.0%
0.78,9.0%,3.8%,64.1%,70.0%,32.1%
0.74,7.7%,3.8%,56.4%,61.4%,52.9%
1.25,5.6%,2.2%,64.4%,81.0%,46.9%
1.04,7.3%,2.4%,54.9%,77.8%,54.1%
1.07,8.1%,4.0%,52.5%,76.9%,51.1%
1.15,11.0%,3.7%,55.0%,80.0%,63.3%
0.58,7.7%,3.8%,67.3%,65.7%,35.3%
0.51,2.0%,3.9%,52.9%,55.6%,37.5%
1.42,7.1%,1.8%,50.0%,82.1%,53.6%
0.81,4.7%,3.8%,63.2%,59.7%,48.7%
1.23,6.9%,0.0%,68.1%,73.5%,52.2%
1.68,3.7%,0.0%,55.6%,76.7%,79.2%
1.22,8.9%,0.0%,74.7%,79.7%,60.0%
0.99,7.1%,3.1%,71.4%,68.6%,46.4%
1.15,7.0%,4.2%,59.2%,78.6%,44.8%
