DR,A%,DF%,1stIn,1st%,2nd%
0.97,1.6%,1.6%,51.6%,68.8%,63.3%
0.83,7.1%,4.1%,61.2%,75.0%,47.4%
0.88,9.5%,0.0%,60.0%,77.8%,47.6%
1.45,1.9%,0.0%,61.1%,72.7%,57.1%
1.19,4.4%,1.1%,65.6%,72.9%,64.5%
0.98,9.1%,1.7%,69.4%,67.9%,54.1%
1.38,7.4%,2.1%,66.0%,79.0%,53.1%
1.20,7.4%,1.5%,60.3%,65.9%,55.6%
1.65,10.5%,1.8%,52.6%,66.7%,74.1%
0.83,7.0%,1.4%,59.2%,78.6%,48.3%
1.37,5.9%,0.0%,70.6%,72.9%,50.0%
1.94,5.7%,1.9%,62.3%,78.8%,75.0%
1.63,7.3%,1.8%,63.6%,77.1%,65.0%
1.61,8.8%,1.8%,63.2%,77.8%,57.1%
1.30,7.6%,3.0%,53.0%,74.3%,51.6%
0.73,3.5%,1.2%,50.0%,76.7%,53.5%
1.89,9.4%,0.0%,54.7%,75.9%,70.8%
1.55,7.7%,0.0%,63.5%,75.8%,36.8%
0.76,2.4%,3.6%,48.8%,61.0%,39.5%
1.29,0.0%,4.1%,59.2%,75.9%,55.0%
1.10,7.2%,0.0%,63.9%,77.4%,46.7%
1.08,4.3%,1.4%,60.9%,64.3%,66.7%
