DR,A%,DF%,1stIn,1st%,2nd%
1.08,3.4%,3.4%,65.9%,69.0%,43.3%
2.03,2.5%,2.5%,52.5%,81.0%,52.6%
1.13,4.9%,2.9%,72.8%,64.0%,53.6%
0.77,1.4%,2.8%,56.3%,70.0%,58.1%
2.16,9.1%,1.5%,66.7%,90.9%,68.2%
0.48,0.0%,4.3%,59.6%,46.4%,57.9%
1.04,8.5%,1.4%,63.4%,66.7%,46.2%
1.16,1.4%,2.8%,56.3%,72.5%,48.4%
1.47,6.9%,2.3%,57.5%,80.0%,56.8%
0.90,0.8%,1.7%,71.4%,51.8%,38.2%
0.66,10.0%,0.9%,63.6%,75.7%,50.0%
2.18,15.1%,1.9%,75.5%,85.0%,61.5%
0.89,11.5%,4.9%,65.6%,70.0%,38.1%
1.19,2.6%,2.6%,60.5%,71.7%,50.0%
0.97,6.5%,1.9%,58.3%,79.4%,46.7%
1.89,0.0%,2.0%,55.1%,74.1%,68.2%
0.89,6.5%,1.1%,60.9%,71.4%,55.6%
0.65,10.4%,6.3%,45.8%,63.6%,38.5%
0.89,16.9%,1.2%,62.7%,73.1%,48.4%
1.25,8.2%,0.8%,58.2%,78.9%,62.7%
1.66,7.4%,4.9%,65.4%,83.0%,50.0%
